,id,timestamp,pmv,ppd,co2,pm25,pm10,temp,hr,voc,co,no2,c2h5ch,idnodo,temp(K),pm25-clasificacion,13.0,14.0,15.0,16.0,17.0,18.0,disconformidad-19%,disconformidad-20%,disconformidad-21%,disconformidad-22%
0,5644288,2022-06-30 15:02:00,0.88,21.0,1.0,4.8,10.3,27.3,49.9,0.9523809523809523,0.8405797101449276,0.9019607843137255,0.9210526315789473,fdba37,300.45,Bajo,0,0,0,0,0,0,0,0,1,0
1,5644268,2022-06-30 15:01:00,0.88,22.0,1.0,5.1,15.0,27.3,50.3,1.0,0.8357487922705314,0.9019607843137255,0.9210526315789473,fdba37,300.45,Bajo,0,0,0,0,0,0,0,0,0,1
2,5644248,2022-06-30 15:00:00,0.88,21.0,1.0,6.4,13.8,27.3,50.1,0.9523809523809523,0.8502415458937199,0.8823529411764706,0.9210526315789473,fdba37,300.45,Mediano,0,0,0,0,0,0,0,0,1,0
3,5644228,2022-06-30 14:59:00,0.88,21.0,1.0,5.1,12.5,27.3,49.7,0.9523809523809523,0.8357487922705314,0.8823529411764706,0.9210526315789473,fdba37,300.45,Bajo,0,0,0,0,0,0,0,0,1,0
4,5644208,2022-06-30 14:58:00,0.88,21.0,1.0,5.0,13.5,27.3,50.1,0.9523809523809523,0.8357487922705314,0.9019607843137255,0.9122807017543859,fdba37,300.45,Bajo,0,0,0,0,0,0,0,0,1,0
5,5644188,2022-06-30 14:57:00,0.88,21.0,1.0,4.6,11.7,27.3,49.8,0.9523809523809523,0.8502415458937199,0.8823529411764706,0.9210526315789473,fdba37,300.45,Bajo,0,0,0,0,0,0,0,0,1,0
6,5644168,2022-06-30 14:56:00,0.88,21.0,1.0,0.0,-1.0,27.3,49.9,0.9523809523809523,0.8405797101449276,0.8823529411764706,0.9210526315789473,fdba37,300.45,Bajo,0,0,0,0,0,0,0,0,1,0
7,5644148,2022-06-30 14:55:00,0.88,21.0,1.0,0.0,-1.0,27.3,50.2,0.9523809523809523,0.8405797101449276,0.9019607843137255,0.9210526315789473,fdba37,300.45,Bajo,0,0,0,0,0,0,0,0,1,0
8,5644128,2022-06-30 14:54:00,0.88,21.0,1.0,4.2,9.3,27.3,50.0,0.9523809523809523,0.8502415458937199,0.8823529411764706,0.9210526315789473,fdba37,300.45,Bajo,0,0,0,0,0,0,0,0,1,0
9,5644108,2022-06-30 14:52:00,0.88,21.0,1.0,4.8,14.9,27.3,50.1,0.9523809523809523,0.8454106280193238,0.9019607843137255,0.9210526315789473,fdba37,300.45,Bajo,0,0,0,0,0,0,0,0,1,0
